# temperature = 270 K
# h0 = 2 km
# humidity = 20
# pressure = 560 mbar
# atmType = 1
# altitude = 5000 m
             0.500000000 1.000000000 2.000000000 3.000000000 4.000000000 5.000000000
25.600000000 0.992227058 0.991063202 0.988739584 0.986421414 0.984108680 0.981801367
25.700000000 0.992225121 0.991098094 0.988847881 0.986602776 0.984362769 0.982127848
25.800000000 0.992259267 0.991166591 0.988984846 0.986807903 0.984635753 0.982468384
25.900000000 0.992262520 0.991201980 0.989084301 0.986971146 0.984862506 0.982758371
26.000000000 0.992257032 0.991226647 0.989169084 0.987115793 0.985066764 0.983021988
26.100000000 0.992246878 0.991244658 0.989243254 0.987245890 0.985252559 0.983263253
26.200000000 0.992233503 0.991257683 0.989308921 0.987363989 0.985422882 0.983485591
26.300000000 0.992217450 0.991266396 0.989367022 0.987471288 0.985579186 0.983690709
26.400000000 0.992199100 0.991271299 0.989418298 0.987568760 0.985722681 0.983880052
26.500000000 0.992178761 0.991272808 0.989463383 0.987657260 0.985854435 0.984054900
26.600000000 0.992156501 0.991271093 0.989502647 0.987737355 0.985975213 0.984216214
26.700000000 0.992132332 0.991266258 0.989536376 0.987809513 0.986085663 0.984364822
26.800000000 0.992106890 0.991259021 0.989565456 0.987874784 0.986187002 0.984502102
26.900000000 0.992079709 0.991248995 0.989589655 0.987933092 0.986279302 0.984628280
27.000000000 0.992050994 0.991236457 0.989609388 0.987984990 0.986363258 0.984744189
27.100000000 0.992020803 0.991221527 0.989624908 0.988030860 0.986439380 0.984850463
27.200000000 0.991989130 0.991204262 0.989636389 0.988070995 0.986508078 0.984947633
27.300000000 0.991955817 0.991184557 0.989643836 0.988105511 0.986569576 0.985036029
27.400000000 0.991919735 0.991161336 0.989646278 0.988133535 0.986623105 0.985114984
27.500000000 0.991883340 0.991137100 0.989646304 0.988157750 0.986671435 0.985187356
27.600000000 0.991848793 0.991114051 0.989646199 0.988180521 0.986717014 0.985255675
27.700000000 0.991811777 0.991087916 0.989641778 0.988197750 0.986755828 0.985316011
27.800000000 0.991770698 0.991057138 0.989631559 0.988208029 0.986786548 0.985367111
27.900000000 0.991729018 0.991025213 0.989619100 0.988214982 0.986812856 0.985412720
28.000000000 0.991692824 0.990998253 0.989610570 0.988224831 0.986841032 0.985459170
28.100000000 0.991651891 0.990966072 0.989595856 0.988227535 0.986861106 0.985496566
28.200000000 0.991609179 0.990931654 0.989577993 0.988226180 0.986876214 0.985528093
28.300000000 0.991565079 0.990895416 0.989557446 0.988221283 0.986886924 0.985554367
28.400000000 0.991519555 0.990857346 0.989534253 0.988212927 0.986893365 0.985575566
28.500000000 0.991472335 0.990817192 0.989508206 0.988200949 0.986895420 0.985591615
28.600000000 0.991422840 0.990774400 0.989478792 0.988184878 0.986892657 0.985602125
28.700000000 0.991369560 0.990727478 0.989444560 0.988163303 0.986883705 0.985605765
28.800000000 0.991307665 0.990671616 0.989400742 0.988131498 0.986863883 0.985597893
28.900000000 0.991211867 0.990581560 0.989322150 0.988064340 0.986808130 0.985553517
29.000000000 0.991134411 0.990509538 0.989260975 0.988013986 0.986768568 0.985524720
29.100000000 0.991149979 0.990530200 0.989291805 0.988054958 0.986819658 0.985585902
29.200000000 0.991113773 0.990498852 0.989270156 0.988042984 0.986817334 0.985593204
29.300000000 0.991066843 0.990456533 0.989237040 0.988019049 0.986802557 0.985587563
29.400000000 0.991014783 0.990408843 0.989198075 0.987988788 0.986780978 0.985574645
29.500000000 0.990959089 0.990357291 0.989154790 0.987953750 0.986754168 0.985556043
29.600000000 0.990899598 0.990301723 0.989107054 0.987913827 0.986722039 0.985531689
29.700000000 0.990834800 0.990240640 0.989053389 0.987867562 0.986683157 0.985500171
29.800000000 0.990760296 0.990169656 0.988989434 0.987810618 0.986633208 0.985457201
29.900000000 0.990662178 0.990074881 0.988901332 0.987729173 0.986558404 0.985389022
